GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
brew-coffee-service,com.walmart.det.brewcoffeeservice.model,Coffee,0,9,0,0,0,4,0,2,0,2
brew-coffee-service,com.walmart.det.brewcoffeeservice.model,ProductType,3,34,0,0,1,5,1,2,1,2
brew-coffee-service,com.walmart.det.brewcoffeeservice.model,CoffeeTypeEnum,6,63,0,0,2,6,2,2,2,2
brew-coffee-service,com.walmart.det.brewcoffeeservice.model,CoffeeType,0,68,0,0,0,15,0,8,0,8
brew-coffee-service,com.walmart.det.brewcoffeeservice.controller,BrewControllerV1,14,22,0,0,4,5,0,3,0,3
brew-coffee-service,com.walmart.det.brewcoffeeservice.controller,OrderController,5,69,1,3,2,21,1,7,0,6
brew-coffee-service,com.walmart.det.brewcoffeeservice.controller,VersionController,0,11,0,0,0,3,0,3,0,3
brew-coffee-service,com.walmart.det.brewcoffeeservice.controller,BrewController,0,15,0,0,0,4,0,2,0,2
brew-coffee-service,com.walmart.det.brewcoffeeservice,BrewCoffeeServiceApplication,5,7,0,0,2,2,1,2,1,2
brew-coffee-service,com.walmart.det.brewcoffeeservice.data,StockServiceImpl,0,11,0,0,0,3,0,2,0,2
brew-coffee-service,com.walmart.det.brewcoffeeservice.exceptions,IllegalQuantityException,0,31,0,0,0,6,0,3,0,3
brew-coffee-service,com.walmart.det.brewcoffeeservice.exceptions,CoffeTypeNotImplementedException,0,31,0,0,0,6,0,3,0,3
brew-coffee-service,com.walmart.det.brewcoffeeservice.service,BrewServiceImpl,0,12,0,0,0,5,0,3,0,3
brew-coffee-service,com.walmart.det.brewcoffeeservice.service,AppInfoImpl,0,12,0,0,0,4,0,4,0,4
brew-coffee-service,com.walmart.det.brewcoffeeservice.service,BrewBusinessImpl,0,31,0,2,0,6,0,5,0,4
brew-coffee-service,com.walmart.det.brewcoffeeservice.service,OrderManagerImpl,0,52,0,2,0,12,0,5,0,4
brew-coffee-service,com.walmart.det.brewcoffeeservice.domain,CoffeeItem.CoffeeType,0,34,0,0,0,2,0,1,0,1
brew-coffee-service,com.walmart.det.brewcoffeeservice.domain,CoffeeItem.CoffeeStatus,0,34,0,0,0,2,0,1,0,1
brew-coffee-service,com.walmart.det.brewcoffeeservice.domain,CoffeeItem,8,42,0,0,4,16,2,7,2,7
brew-coffee-service,com.walmart.det.brewcoffeeservice.domain,Order,0,29,0,0,0,10,0,5,0,5
brew-coffee-service,com.walmart.det.brewcoffeeservice.domain,CoffeeItem.CoffeeSize,0,34,0,0,0,2,0,1,0,1
